NUM,ID,Name,Cite,Lon,Lat,Type1,Type2,Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
57,32,广西龙胜龙脊梯田系统,广西桂林市龙胜各族自治县龙脊镇,110.068,25.735,稻作农业系统,Rice farming system,RFS,1066.3,1236.3,495.3,483.39996,669.89996,727.2,551.1,1019.0,440.4,761.1,1579.4,726.5,746.80005,1696.6,1707.3999,458.8,911.80005,890.39996,2065.7,1145.0,757.4,836.6,1153.2001,843.2001,722.9,494.1,558.4,234.3,582.3,352.2,1040.2001,55.7,339.40002,802.5,576.10004,920.80005,1074.1,266.8,345.8,785.0,682.8,475.7,607.9,552.96936,1400.1405
58,33,四川江油辛夷花传统栽培体系,四川省绵阳市江油市大康镇旱丰村,104.65,31.845,中药材花卉系统,Chinese medicinal herb and flower system,CMHFS,117.6,574.2,297.9,588.0,393.4,122.899994,65.0,373.6,275.9,243.90001,473.5,193.2,306.3,378.4,71.399994,255.0,238.9,135.6,987.0,149.4,258.0,602.2,94.7,422.7,202.5,153.1,38.4,536.5,366.5,277.90002,213.09999,342.4,433.30002,733.50006,195.6,386.8,147.1,92.4,592.7001,270.3,960.49994,524.69995,150.29999,40.245853,586.4623
59,34,云南广南八宝稻作生态系统,云南省文山州广南县八宝镇,105.432,23.746,稻作农业系统,Rice farming system,RFS,380.69998,282.9,207.90001,554.10004,245.7,322.4,565.19995,185.4,190.7,430.09998,521.19995,324.19998,316.09998,276.59998,731.4,174.0,536.4,332.69998,254.8,288.3,138.4,510.5,251.90001,282.80002,26.8,275.6,387.40002,192.3,886.5,151.8,351.3,236.90001,449.5,395.59998,554.4,495.8,350.5,285.8,380.3,222.59999,220.0,448.69998,384.9,221.4443,908.92285
60,35,云南剑川稻麦复种系统,云南省大理州剑川县剑湖周边金华镇,99.912,26.537,稻作农业系统,Rice farming system,RFS,101.899994,173.5,193.6,312.7,160.9,318.4,405.7,207.09999,166.79999,407.1,252.29997,440.3,265.1,137.6,143.59999,187.3,216.4,125.100006,213.09999,200.00002,258.9,236.4,191.1,218.0,166.99998,161.0,164.40001,236.59999,206.1,242.70001,277.0,199.3,212.6,131.6,268.5,211.4,358.3,192.09999,220.09999,130.09999,354.29996,92.100006,137.3,238.60762,330.32214
61,36,甘肃岷县当归种植系统,甘肃省定西市岷县梅川镇西坝村,104.024,34.574,中药材花卉系统,Chinese medicinal herb and flower system,CMHFS,177.9,95.899994,75.9,204.5,103.4,159.09999,223.40001,100.799995,151.7,195.0,298.2,47.5,184.6,210.20001,129.6,232.9,181.29999,153.0,167.5,92.5,154.6,230.0,104.8,207.7,156.4,198.2,242.40001,147.29999,129.9,37.7,150.9,121.6,217.20001,294.09998,216.30002,166.79999,72.90001,147.8,174.6,174.1,275.99997,144.3,88.700005,82.72865,178.72299
62,37,宁夏灵武长枣种植系统,宁夏回族自治区银川市灵武市东塔镇果园村,106.359,38.084,林业和林果系统,Forestry and forestry products system,FFPS,22.1,68.3,,61.3,50.0,116.1,19.8,97.3,61.2,48.6,20.5,21.0,67.3,43.2,49.2,117.2,99.700005,52.2,129.2,19.9,23.6,177.40001,188.79999,77.4,21.5,25.9,44.9,38.5,44.1,20.1,20.3,21.1,50.5,19.7,71.0,22.2,54.4,28.0,61.0,107.3,21.2,19.8,23.7,27.508015,124.20492
63,38,新疆哈密市哈密瓜栽培与贡瓜文化系统,新疆维吾尔自治区哈密市伊州区花园乡,93.476,42.747,蔬菜瓜果系统,Vegetable and fruit system,VFS,8.7,11.2,8.3,12.2,10.2,8.2,9.7,9.2,20.9,20.2,9.2,9.2,9.1,18.599998,7.9,31.2,18.3,8.4,20.7,10.4,9.3,10.7,19.6,11.8,8.9,26.5,9.4,18.2,12.9,9.0,8.7,18.3,11.3,14.2,9.6,10.9,8.9,11.4,35.300003,8.8,10.0,9.7,,8.2143545,9.835124
64,39,北京平谷四座楼麻核桃生产系统,北京市平谷区熊儿寨乡,117.128,40.284,林业和林果系统,Forestry and forestry products system,FFPS,36.8,145.79999,147.9,193.79999,291.09998,227.1,204.6,369.1,103.2,136.0,259.3,231.2,228.3,67.1,470.7,348.3,202.1,74.0,332.0,36.3,123.3,146.7,72.9,120.2,134.7,175.5,69.7,42.4,111.0,33.7,189.40001,219.1,236.3,184.4,64.600006,32.7,202.9,109.0,189.8,90.5,94.3,216.6,165.9,97.13286,335.73193
65,40,北京京西稻作文化系统,北京市海淀区上庄镇,116.209,40.095,稻作农业系统,Rice farming system,RFS,108.2,154.6,183.9,172.29999,169.8,43.2,293.2,126.6,142.5,199.0,394.3,101.6,87.4,33.7,334.2,201.09999,132.0,36.9,206.6,30.5,211.4,195.9,33.4,164.5,58.4,89.1,151.5,75.1,33.3,86.8,87.3,252.2,166.7,121.899994,44.9,80.399994,250.5,212.2,105.1,51.2,66.0,202.5,112.3,253.13547,407.18915
66,41,辽宁桓仁京租稻栽培系统,辽宁省本溪市桓仁满族自治县桓仁镇,125.31,41.302,稻作农业系统,Rice farming system,RFS,33.1,408.0,314.10004,238.6,181.6,286.1,486.80002,169.6,137.4,287.9,461.1,208.40001,353.4,35.3,282.6,466.4,525.0,162.1,409.80002,143.20001,127.0,167.4,161.20001,201.09999,166.6,273.1,451.6,523.10004,277.3,162.90001,299.4,194.70001,364.8,506.49997,83.5,161.0,117.299995,55.7,234.1,110.5,459.10004,319.7,466.09998,357.73022,722.2106
